question_id,bq_latency_ms,bq_recall_10,bytes_processed,cost_usd
q1,585.0,1.0,0,0.0
q2,700.0,0.0,0,0.0
q3,565.0,0.0,0,0.0
q4,535.0,1.0,0,0.0
q5,511.0,1.0,0,0.0
q6,454.0,0.0,0,0.0
q7,606.0,0.0,0,0.0
q8,599.0,0.0,0,0.0
q9,697.0,0.0,0,0.0
q10,634.0,0.0,0,0.0
q11,543.0,1.0,0,0.0
q12,695.0,1.0,0,0.0
q13,456.0,1.0,0,0.0
q14,447.0,1.0,0,0.0
q15,607.0,1.0,0,0.0
q16,726.0,1.0,0,0.0
q17,623.0,1.0,0,0.0
q18,617.0,1.0,0,0.0
q19,570.0,1.0,0,0.0
q20,664.0,1.0,0,0.0
q21,606.0,1.0,0,0.0
q22,604.0,1.0,0,0.0
q23,463.0,1.0,0,0.0
q24,676.0,1.0,0,0.0
q25,483.0,1.0,0,0.0
